Supplier,start date,Location,Working days,Division,Vehicle Number,Vehicel Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage , Excess milage Rate -02 , Excess Amout - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent Days ,Days (1),Days (2), Late Attendence-1 , Late Attendence-2 , Tempory hired vehicel charges , Fuel Pumped Amount , No pay rate=1 , No pay rate=2 , No pay Amount , Late Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,2025-01-01,A'pura,31,BTS Operation,PF-1928,Passenger Van,"194,875.00","194,875.00","99,004.91","2,795.00",63, -   ,295,70.75,"20,871.25","5,670.00", -   ,"221,416.25","39,854.93","261,271.18", -   , -   ,, -   , -   , -   ,"99,004.91","6,286.29","6,286.29", -   , -   ,"-99,004.91","-17,820.88","-116,825.79","122,411.34","22,034.04","144,445.38"
Prime,2025-01-01,Ampara,31,BTS Operation,PF-2252,24 hrs Passenger Van,"238,975.00","238,975.00", -   ,"4,323.00",,,"1,823.00",70.75,"128,977.25", -   , -   ,"367,952.25","66,231.41","434,183.66", -   , -   ,, -   , -   , -   , -   ,"7,708.87","7,708.87", -   , -   , -   , -   , -   ,"367,952.25","66,231.41","434,183.66"
Prime,2025-01-01,A'pura,13,BTS Operation,PF-3301,4 X 4 Double cab,"221,000.00","92,677.42","49,000.95","1,247.75",16.5, -   ,199.75,71.3,"14,242.18","1,485.00", -   ,"108,404.59","19,512.83","127,917.42", -   , -   ,, -   , -   , -   ,"49,000.95","7,129.03","7,129.03", -   , -   ,"-49,000.95","-8,820.17","-57,821.12","59,403.64","10,692.66","70,096.30"
Prime,2025-01-01,Colombo,31,BTS Operation,PF-3955,Self-Driven 4 X 4 Double cab,"139,500.00","139,500.00", -   ,"2,009.00", -   , -   , -   ,45, -   , -   , -   ,"139,500.00","25,110.00","164,610.00", -   , -   ,, -   , -   , -   , -   ,"4,500.00","4,500.00", -   , -   , -   , -   , -   ,"139,500.00","25,110.00","164,610.00"
Prime,2025-01-01,Chilaw,0,BTS Operation,PF-7285,Passenger Van,"194,875.00", -   ,"74,506.14", -   , -   , -   , -   ,70.75, -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,"74,506.14","6,286.29","6,286.29", -   , -   ,"-74,506.14","-13,411.11","-87,917.25","-74,506.14","-13,411.11","-87,917.25"
Prime,2025-01-01,kadawatha,31,BTS Operation,PF-9818,Self-Driven 4 X 4 Double cab,"139,500.00","139,500.00", -   ,"1,988.00", -   , -   , -   ,45, -   , -   , -   ,"139,500.00","25,110.00","164,610.00", -   , -   ,, -   , -   , -   , -   ,"4,500.00","4,500.00", -   , -   , -   , -   , -   ,"139,500.00","25,110.00","164,610.00"
Prime,2025-01-01,A'pura,31,Power,PG-0415,Passenger Van,"194,875.00","194,875.00","54,444.96","2,310.00",65.5, -   , -   ,70.75, -   ,"5,895.00", -   ,"200,770.00","36,138.60","236,908.60", -   , -   ,, -   , -   , -   ,"54,444.96","6,286.29","6,286.29", -   , -   ,"-54,444.96","-9,800.09","-64,245.05","146,325.04","26,338.51","172,663.55"
Prime,2025-01-01,Galle,31,BTS Operation,PG-4769,Self-Driven 4 X 4 Double cab,"139,500.00","139,500.00", -   ,"4,017.00", -   , -   ,"1,517.00",45,"68,265.00", -   , -   ,"207,765.00","37,397.70","245,162.70", -   , -   ,, -   , -   , -   , -   ,"4,500.00","4,500.00", -   , -   , -   , -   , -   ,"207,765.00","37,397.70","245,162.70"
Prime,2025-01-01,Welikada,31,Pool,PH-0505,Van Field Use,"140,216.66","140,216.66","76,591.21","2,263.00",44.5, -   , -   ,55.36, -   ,"4,005.00", -   ,"144,221.66","25,959.90","170,181.56",1,1,,3,7,"1,520.00","76,591.21","4,523.12","4,523.12","4,523.12","4,580.00","-87,214.33","-15,698.58","-102,912.91","57,007.33","10,261.32","67,268.65"
Prime,2025-01-01,Batticalo,31,RND,PI-1637,Van Field Use,"140,216.66","140,216.66","32,499.38","1,723.00",52.5, -   , -   ,55.36, -   ,"4,725.00", -   ,"144,941.66","26,089.50","171,031.16", -   , -   ,, -   , -   , -   ,"32,499.38","4,523.12","4,523.12", -   , -   ,"-32,499.38","-5,849.89","-38,349.27","112,442.28","20,239.61","132,681.89"
Prime,2025-01-01,Kandy,31,RND,PI-3731,Van Field Use,"140,216.66","140,216.66","85,833.09","2,613.00",61, -   ,113,55.36,"6,255.68","5,490.00", -   ,"151,962.34","27,353.22","179,315.56", -   , -   ,, -   , -   , -   ,"85,833.09","4,523.12","4,523.12", -   , -   ,"-85,833.09","-15,449.96","-101,283.05","66,129.25","11,903.27","78,032.52"
Prime,2025-01-01,Rathnapura,31,RND,PJ-8253,Van Field Use,"140,216.66","140,216.66","55,710.63","2,170.00",20, -   , -   ,55.36, -   ,"1,800.00", -   ,"142,016.66","25,563.00","167,579.66", -   , -   ,, -   , -   , -   ,"55,710.63","4,523.12","4,523.12", -   , -   ,"-55,710.63","-10,027.91","-65,738.54","86,306.03","15,535.09","101,841.12"
Prime,2025-01-01,Welikada,31,RND,PK-0755,Van Field Use,"140,216.66","140,216.66","77,574.76","2,459.00",52.5, -   , -   ,55.36, -   ,"4,725.00", -   ,"144,941.66","26,089.50","171,031.16",4,4,, -   ,1, -   ,"77,574.76","4,523.12","4,523.12","18,092.47",500,"-96,167.23","-17,310.10","-113,477.33","48,774.43","8,779.40","57,553.82"
