Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Kandy,30.00,Power,PF-0288,Passenger Van," 209,080.42 "," 209,080.42 "," 2,351.00 ", 36.50 , -   , -   , 76.67 , -   ," 3,449.25 ", -   ," 212,529.67 "," 38,255.34 "," 250,785.01 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 212,529.67 "," 38,255.34 "," 250,785.01 "
Prime,Katunayaka,29.00,Projects,CAN-3782,Passenger Car," 139,500.00 "," 134,850.00 "," 2,413.00 ", 33.50 , -   ,, 53.40 , -   ," 3,165.75 ", -   ," 138,015.75 "," 24,842.84 "," 162,858.59 ", 1.00 , -   ," 2,000.00 "," 4,650.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 136,015.75 "," 24,482.84 "," 160,498.59 "
Prime,Katunayaka,30.00,BTS Operation,PD-1734,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 1,764.56 ", 59.00 , -   ,, 81.17 , -   ," 5,575.50 ", -   ," 235,242.17 "," 42,343.59 "," 277,585.76 ", -   , -   , -   ," 7,655.56 ",, -   , -   , -   ," 235,242.17 "," 42,343.59 "," 277,585.76 "
Prime,Katunayaka,25.00,BTS Operation,PC-8556,Self-Driven 4 X 4 Double cab," 142,000.00 "," 118,333.33 "," 1,072.26 ", -   , -   , -   , 57.75 , -   , -   , -   ," 118,333.33 "," 21,300.00 "," 139,633.33 ", 5.00 , -   ," 10,000.00 "," 4,733.33 ",," (10,000.00)"," (1,800.00)"," (11,800.00)"," 108,333.33 "," 19,500.00 "," 127,833.33 "
Prime,Kurunegala,30.00,Civil,PE-0852,Van Field Use," 125,300.56 "," 125,300.56 "," 2,628.00 ", 20.00 , -   , 128.00 , 55.68 ," 7,127.04 "," 1,890.00 ", -   ," 134,317.60 "," 24,177.17 "," 158,494.77 ", -   , -   , -   ," 4,176.69 ",, -   , -   , -   ," 134,317.60 "," 24,177.17 "," 158,494.77 "
Prime,Kurunegala,30.00,Sites Acquisition,CAN-4723,Passenger Car," 139,500.00 "," 139,500.00 "," 2,786.00 ", 25.00 , -   , 286.00 , 53.40 ," 15,272.40 "," 2,362.50 ", -   ," 157,134.90 "," 28,284.28 "," 185,419.18 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 157,134.90 "," 28,284.28 "," 185,419.18 "
Prime,Kurunegala,30.00,Sites Acquisition,CBB-8946,Passenger Car," 139,500.00 "," 139,500.00 "," 2,838.00 ", 47.50 , 3.00 , 338.00 , 53.40 ," 18,049.20 "," 4,488.75 "," 1,575.00 "," 163,612.95 "," 29,450.33 "," 193,063.28 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 163,612.95 "," 29,450.33 "," 193,063.28 "
Prime,Kurunegala,30.00,Projects,PC-0040,Van Field Use," 125,300.56 "," 125,300.56 "," 3,464.00 ", 131.50 , -   , 964.00 , 55.68 ," 53,675.52 "," 12,426.75 ", -   ," 191,402.83 "," 34,452.51 "," 225,855.34 ", -   , -   , -   ," 4,176.69 ",, -   , -   , -   ," 191,402.83 "," 34,452.51 "," 225,855.34 "
Prime,Kurunegala,30.00,BTS Operation,PC-4962,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 2,422.00 ", 22.00 , -   ,, 81.17 , -   ," 2,079.00 ", -   ," 231,745.67 "," 41,714.22 "," 273,459.89 ", -   , -   , -   ," 7,655.56 ",, -   , -   , -   ," 231,745.67 "," 41,714.22 "," 273,459.89 "
Prime,Kurunegala,30.00,RND,PC-3390,Passenger Van," 209,080.42 "," 209,080.42 "," 3,116.00 ", 72.50 , -   , 616.00 , 76.67 ," 47,228.72 "," 6,851.25 ", -   ," 263,160.39 "," 47,368.87 "," 310,529.26 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 263,160.39 "," 47,368.87 "," 310,529.26 "
