Supplier,start date,Location,Working days (2),Division,Vehicle Number,Vehicel Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amout - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent Days ,Days (1),Days (2), Late Attendence-1 , Late Attendence-2 , Tempory hired vehicel charges , Fuel Pumped Amount , No pay rate=1 , No pay rate=2 , No pay Amount , Late Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,2025-02-01,A'pura,28,BTS Operation,PF-1928,Passenger Van,"194,875.00","194,875.00","79,000.92","3,311.00",76.5, -   ,811,70.75,"57,378.25","6,885.00", -   ,"259,138.25","46,644.89","305,783.14", -   , -   ,, -   , -   , -   ,"79,000.92","6,959.82","6,959.82", -   , -   ,"-79,000.92","-14,220.17","-93,221.09","180,137.33","32,424.72","212,562.05"
Prime,2025-02-01,Badulla,28,RND,CAI-5961,Van Field Use,"140,216.66","140,216.66","65,430.75","2,821.00",35.5, -   ,321,55.36,"17,770.56","3,195.00", -   ,"161,182.22","29,012.80","190,195.02", -   , -   ,, -   , -   , -   ,"65,430.75","5,007.74","5,007.74", -   , -   ,"-65,430.75","-11,777.54","-77,208.29","95,751.47","17,235.26","112,986.73"
Prime,2025-02-01,Batticalo,28,RND,PI-1637,Van Field Use,"140,216.66","140,216.66","66,999.85","2,113.00",77, -   ,,55.36, -   ,"6,930.00", -   ,"147,146.66","26,486.40","173,633.06", -   , -   ,, -   , -   , -   ,"66,999.85","5,007.74","5,007.74", -   , -   ,"-66,999.85","-12,059.97","-79,059.82","80,146.81","14,426.43","94,573.24"
Prime,2025-02-01,Chilaw,4,BTS Operation,59-6646,Passenger Van,"194,875.00","27,839.29",,287,2.5, -   , -   ,70.75, -   ,225, -   ,"28,064.29","5,051.57","33,115.86", -   , -   ,, -   , -   , -   , -   ,"6,959.82","6,959.82", -   , -   , -   , -   , -   ,"28,064.29","5,051.57","33,115.86"
Prime,2025-02-01,Colombo,28,BTS Operation,PF-3955,Self-Driven 4 X 4 Double cab,"139,500.00","139,500.00",,"2,025.00", -   , -   ,,45, -   , -   , -   ,"139,500.00","25,110.00","164,610.00", -   , -   ,, -   , -   , -   , -   ,"4,982.14","4,982.14", -   , -   , -   , -   , -   ,"139,500.00","25,110.00","164,610.00"
Prime,2025-02-01,Colombo,28,BTS Operation,CBC-9768,Self-Driven cars,"86,400.00","86,400.00",,"1,728.00", -   , -   ,,28.8, -   , -   , -   ,"86,400.00","15,552.00","101,952.00", -   , -   ,, -   , -   , -   , -   ,"3,085.71","3,085.71", -   , -   , -   , -   , -   ,"86,400.00","15,552.00","101,952.00"
Prime,2025-02-01,Galle,28,BTS Operation,PE-6334,4 X 4 Double cab,"221,000.00","221,000.00","79,442.22","2,345.00",15, -   ,,71.3, -   ,"1,350.00", -   ,"222,350.00","40,023.00","262,373.00", -   , -   ,, -   , -   , -   ,"79,442.22","7,892.86","7,892.86", -   , -   ,"-79,442.22","-14,299.60","-93,741.82","142,907.78","25,723.40","168,631.18"
Prime,2025-02-01,Galle,28,Projects,CAY-9312,Van Field Use,"140,216.66","140,216.66","43,071.51","1,944.00",40.5, -   ,,55.36, -   ,"3,645.00", -   ,"143,861.66","25,895.10","169,756.76", -   , -   ,, -   , -   , -   ,"43,071.51","5,007.74","5,007.74", -   , -   ,"-43,071.51","-7,752.87","-50,824.38","100,790.15","18,142.23","118,932.38"
Prime,2025-02-01,Galle,28,RND,CAO-5836,Van Field Use,"140,216.66","140,216.66","79,397.55","3,368.00",78.5, -   ,868,55.36,"48,052.48","7,065.00", -   ,"195,334.14","35,160.15","230,494.29", -   , -   ,, -   , -   , -   ,"79,397.55","5,007.74","5,007.74", -   , -   ,"-79,397.55","-14,291.56","-93,689.11","115,936.59","20,868.59","136,805.18"
Prime,2025-02-01,Galle,28,BTS Operation,PG-4769,Self-Driven 4 X 4 Double cab,"139,500.00","139,500.00",,"3,775.00", -   , -   ,"1,275.00",45,"57,375.00", -   , -   ,"196,875.00","35,437.50","232,312.50", -   , -   ,, -   , -   , -   , -   ,"4,982.14","4,982.14", -   , -   , -   , -   , -   ,"196,875.00","35,437.50","232,312.50"
