Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage ,,, Excess milage Rate , Excess Amount - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT ,Days (1), Temper hired vehicle charges , Absent Penalty amount , Fuel Pumped Amount , No pay rate=1 , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Jaffna,31.00,BTS Operation,HJ-1100,Passenger Van," 212,413.75 "," 212,413.75 "," 99,434.35 "," 3,346.00 ", 103.00 , -   , 846.00 ," 2,500.00 ", 84.97 , 78.00 ," 65,988.000 "," 9,733.50 ", -   ," 288,135.25 "," 51,864.35 "," 339,999.60 ", -   , -   , -   ," 99,434.35 "," 6,852.06 ",," (99,434.35)"," (17,898.18)"," (117,332.53)"," 188,700.90 "," 33,966.16 "," 222,667.07 "
Prime,kadawatha,31.00,BTS Operation,PA-2478,Passenger Van," 212,413.75 "," 212,413.75 "," 55,360.16 "," 2,045.00 ", 32.50 , -   ,," 2,045.00 ", 103.87 , 78.00 , -   ," 3,071.25 ", -   ," 215,485.00 "," 38,787.30 "," 254,272.30 ", -   , -   , -   ," 55,360.16 "," 6,852.06 ",," (55,360.16)"," (9,964.83)"," (65,324.99)"," 160,124.84 "," 28,822.47 "," 188,947.31 "
Prime,kadawatha,31.00,BTS Operation,PF-9818,Self-Driven 4 X 4 Double cab," 152,000.00 "," 152,000.00 ", -   ," 1,833.00 ", -   , -   ,," 1,833.00 ", 82.92 , 57.75 , -   , -   , -   ," 152,000.00 "," 27,360.00 "," 179,360.00 ", -   , -   , -   , -   ," 4,903.23 ",, -   , -   , -   ," 152,000.00 "," 27,360.00 "," 179,360.00 "
Prime,Kandy,2.00,BTS Operation,PJ-1477,Van Field Use," 102,620.35 "," 6,620.67 ", -   , 334.00 , 8.00 , -   ,, 334.00 , 307.25 , 57.46 , -   , 756.00 , -   ," 7,376.67 "," 1,327.80 "," 8,704.47 ", -   , -   , -   , -   ," 3,310.33 ",, -   , -   , -   ," 7,376.67 "," 1,327.80 "," 8,704.47 "
Prime,Kandy,31.00,BTS Operation,CAH-0556,Passenger Car," 143,500.00 "," 143,500.00 "," 67,996.28 "," 3,273.00 ", 63.50 , -   , 773.00 ," 2,500.00 ", 57.40 , 55.00 ," 42,515.000 "," 6,000.75 ", -   ," 192,015.75 "," 34,562.84 "," 226,578.59 ", -   , -   , -   ," 67,996.28 "," 4,629.03 ",," (67,996.28)"," (12,239.33)"," (80,235.61)"," 124,019.47 "," 22,323.51 "," 146,342.98 "
Prime,Kandy,31.00,Sites Acquisition,CBE-2571,Passenger Car," 143,500.00 "," 143,500.00 "," 69,016.32 "," 2,283.00 ", 36.50 , -   ,," 2,283.00 ", 62.86 , 55.00 , -   ," 3,449.25 ", -   ," 146,949.25 "," 26,450.87 "," 173,400.12 ", -   , -   , -   ," 69,016.32 "," 4,629.03 ",," (69,016.32)"," (12,422.94)"," (81,439.25)"," 77,932.94 "," 14,027.93 "," 91,960.86 "
Prime,Kandy,31.00,RND,PI-3731,Van Field Use," 129,745.00 "," 129,745.00 "," 85,831.55 "," 2,024.00 ", 78.50 , -   ,," 2,024.00 ", 64.10 , 57.46 , -   ," 7,418.25 ", -   ," 137,163.25 "," 24,689.39 "," 161,852.64 ", -   , -   , -   ," 85,831.55 "," 4,185.32 ",," (85,831.55)"," (15,449.68)"," (101,281.23)"," 51,331.70 "," 9,239.71 "," 60,571.41 "
Prime,Kandy,31.00,Power,PF-0288,Passenger Van," 212,413.75 "," 212,413.75 "," 92,995.76 "," 2,476.00 ", 18.50 , -   ,," 2,476.00 ", 85.79 , 78.00 , -   ," 1,748.25 ", -   ," 214,162.00 "," 38,549.16 "," 252,711.16 ", -   , -   , -   ," 92,995.76 "," 6,852.06 ",," (92,995.76)"," (16,739.24)"," (109,735.00)"," 121,166.24 "," 21,809.92 "," 142,976.16 "
Prime,Katunayaka,31.00,Projects,CAN-3782,Passenger Car," 143,500.00 "," 143,500.00 "," 77,586.81 "," 2,347.00 ", 29.50 , -   ,," 2,347.00 ", 61.14 , 55.00 , -   ," 2,787.75 ", -   ," 146,287.75 "," 26,331.80 "," 172,619.55 ", -   , -   , -   ," 77,586.81 "," 4,629.03 ",," (77,586.81)"," (13,965.63)"," (91,552.44)"," 68,700.94 "," 12,366.17 "," 81,067.11 "
Prime,Katunayaka,31.00,BTS Operation,PD-1734,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 77,990.22 "," 2,163.84 ", 69.50 , -   ,," 2,163.84 ", 107.68 , 82.50 , -   ," 6,567.75 ", -   ," 239,567.75 "," 43,122.20 "," 282,689.95 ", 3.00 , -   ," 6,000.00 "," 77,990.22 "," 7,516.13 ",," (83,990.22)"," (15,118.24)"," (99,108.46)"," 155,577.53 "," 28,003.96 "," 183,581.48 "
