Supplier,Location,Working days,Division,YOM,Applied rate Card,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Polonnaruwa,31.00,BTS Operation,2007,Rate Card 02,PD-4310,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,113.00 ", 117.50 , -   , 613.00 , 80.17 ," 49,144.21 "," 10,881.68 ", -   ," 287,192.56 "," 51,694.66 "," 338,887.21 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 287,192.56 "," 51,694.66 "," 338,887.21 "
Prime,Polonnaruwa,31.00,BTS Operation,2008,Rate Card 02,PB-1213,Passenger Van," 180,166.67 "," 180,166.67 "," 3,030.00 ", 100.50 , -   , 530.00 , 72.17 ," 38,250.10 "," 9,022.89 ", -   ," 227,439.66 "," 40,939.14 "," 268,378.80 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 227,439.66 "," 40,939.14 "," 268,378.80 "
Prime,Rathnapura,31.00,RND,2018,Rate Card 02,CBF-6717,Passenger Car," 138,250.00 "," 138,250.00 "," 1,978.00 ", 21.50 , -   ,, 52.90 , -   ," 1,999.50 ", -   ," 140,249.50 "," 25,244.91 "," 165,494.41 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 140,249.50 "," 25,244.91 "," 165,494.41 "
Prime,Rathnapura,31.00,Sites Acquisition,2017,Rate Card 02,CAY-8398,Passenger Car," 138,250.00 "," 138,250.00 "," 2,796.00 ", 34.50 , -   , 296.00 , 52.90 ," 15,658.40 "," 3,208.50 ", -   ," 157,116.90 "," 28,281.04 "," 185,397.94 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 157,116.90 "," 28,281.04 "," 185,397.94 "
Prime,Thanamalwila,31.00,BTS Operation,2008,Rate Card 02,PD-6017,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,341.00 ", 80.00 , -   , 841.00 , 80.17 ," 67,422.97 "," 7,408.80 ", -   ," 301,998.44 "," 54,359.72 "," 356,358.16 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 301,998.44 "," 54,359.72 "," 356,358.16 "
CS Tours,Thanamalwila,31.00,Civil,2016,Rate Card 01,PJ-8253,Van Field Use," 123,911.11 "," 123,911.11 "," 3,046.00 ", 64.00 , -   , 546.00 , 54.44 ," 29,724.24 "," 5,927.04 ", -   ," 159,562.39 "," 28,721.23 "," 188,283.62 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 159,562.39 "," 28,721.23 "," 188,283.62 "
Prime,Nittambuwa,31.00,BTS Operation,2008,Rate Card 02,PB-3719,Van Field Use," 123,911.11 "," 123,911.11 "," 1,780.00 ", 18.50 , -   ,, 54.44 , -   ," 1,713.29 ", -   ," 125,624.40 "," 22,612.39 "," 148,236.79 ", -   , -   , -   ," 3,997.13 ",, -   , -   , -   ," 125,624.40 "," 22,612.39 "," 148,236.79 "
Prime,Welikada,31.00,BTS Operation,2016,Rate Card 02,CAT-4615,Self-Driven Passenger Car," 84,000.00 "," 84,000.00 "," 2,113.00 ", -   , -   ,, 30.50 , -   , -   , -   ," 84,000.00 "," 15,120.00 "," 99,120.00 ", -   , -   , -   ," 2,709.68 ",, -   , -   , -   ," 84,000.00 "," 15,120.00 "," 99,120.00 "
Prime,Welikada,31.00,Pool,2016,Rate Card 02,CAU-8614,Passenger Car," 138,250.00 "," 138,250.00 "," 3,377.00 ", 92.00 , -   , 877.00 , 52.90 ," 46,393.30 "," 8,556.00 ", -   ," 193,199.30 "," 34,775.87 "," 227,975.17 ", -   ," 19,925.00 ", -   ," 4,459.68 ",," (19,925.00)"," (3,586.50)"," (23,511.50)"," 173,274.30 "," 31,189.37 "," 204,463.67 "
Prime,Welikada,31.00,Pool,2015,Rate Card 02,CAA-1612,Passenger Car," 138,250.00 "," 138,250.00 "," 3,079.00 ", 66.00 , -   , 579.00 , 52.90 ," 30,629.10 "," 6,138.00 ", -   ," 175,017.10 "," 31,503.08 "," 206,520.18 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 175,017.10 "," 31,503.08 "," 206,520.18 "
